[2026-05-26 17:38:30] [QueryClient] 已连接到中间件 127.0.0.1:5001
[2026-05-26 17:38:30] [QueryClient] 已订阅查询结果主题
[2026-05-26 17:38:30] [QueryClient] 发送查询请求 - ID: 1779788310.8669775, 类型: get_notes
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.8895438, 类型: get_note
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.8221767, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.9309185, 类型: get_like_count
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788315.8895438, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.0038288, 类型: get_comments
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.0637817, 类型: get_note
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.0038288, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.1147006, 类型: get_like_count
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788315.9309185, 状态: success
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.0637817, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.171564, 类型: get_comments
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.1147006, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.265658, 类型: get_note
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.171564, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.2875257, 类型: get_like_count
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.265658, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.3704755, 类型: get_comments
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.2875257, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.4411392, 类型: get_note
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.3704755, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.4835513, 类型: get_like_count
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.4835513, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.6261196, 类型: get_note
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.4411392, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.6697862, 类型: get_comments
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.6261196, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.744249, 类型: get_comments
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.6697862, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.7855775, 类型: get_like_count
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.8037012, 类型: get_note
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.744249, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.8526447, 类型: get_like_count
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.7855775, 状态: success
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.8037012, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.912878, 类型: get_comments
[2026-05-26 17:38:36] [QueryClient] 收到查询结果 - ID: 1779788316.8526447, 状态: success
[2026-05-26 17:38:36] [QueryClient] 发送查询请求 - ID: 1779788316.9936023, 类型: get_note
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788316.912878, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.036007, 类型: get_like_count
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788316.9936023, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.0996168, 类型: get_comments
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.036007, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.179094, 类型: get_note
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.0996168, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.2141082, 类型: get_like_count
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.179094, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.2880216, 类型: get_comments
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.2141082, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.3639061, 类型: get_note
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.2880216, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.4002683, 类型: get_like_count
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.3639061, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.478177, 类型: get_comments
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.4002683, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.559189, 类型: get_note
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.478177, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.5873377, 类型: get_like_count
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.5873377, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.7410645, 类型: get_note
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.559189, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.7757967, 类型: get_comments
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.7410645, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.8509145, 类型: get_comments
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.7757967, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.8948429, 类型: get_like_count
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.9364574, 类型: get_note
[2026-05-26 17:38:37] [QueryClient] 收到查询结果 - ID: 1779788317.8509145, 状态: success
[2026-05-26 17:38:37] [QueryClient] 发送查询请求 - ID: 1779788317.957554, 类型: get_like_count
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788317.8948429, 状态: success
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788317.9364574, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.0543513, 类型: get_comments
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788317.957554, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.109643, 类型: get_note
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.0543513, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.1725833, 类型: get_like_count
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.109643, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.230804, 类型: get_comments
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.1725833, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.2987366, 类型: get_note
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.230804, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.3475747, 类型: get_like_count
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.2987366, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.417194, 类型: get_comments
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.3475747, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.4817264, 类型: get_note
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.417194, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.5596378, 类型: get_like_count
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.5596378, 状态: success
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.4817264, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.7079277, 类型: get_comments
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.7079277, 状态: success
[2026-05-26 17:38:38] [QueryClient] 发送查询请求 - ID: 1779788318.815975, 类型: get_like_count
[2026-05-26 17:38:38] [QueryClient] 收到查询结果 - ID: 1779788318.815975, 状态: success
[2026-05-26 17:38:42] [QueryClient] 发送查询请求 - ID: 1779788322.6210957, 类型: get_note
[2026-05-26 17:38:42] [QueryClient] 收到查询结果 - ID: 1779788322.6210957, 状态: success
[2026-05-26 17:38:42] [QueryClient] 发送查询请求 - ID: 1779788322.8476388, 类型: get_comments
[2026-05-26 17:38:43] [QueryClient] 收到查询结果 - ID: 1779788322.8476388, 状态: success
[2026-05-26 17:38:43] [QueryClient] 发送查询请求 - ID: 1779788323.0554562, 类型: get_like_count
[2026-05-26 17:38:43] [QueryClient] 收到查询结果 - ID: 1779788323.0554562, 状态: success
[2026-05-26 17:38:44] [QueryClient] 发送查询请求 - ID: 1779788324.2133276, 类型: get_notes
[2026-05-26 17:38:44] [QueryClient] 收到查询结果 - ID: 1779788324.2133276, 状态: success
[2026-05-26 17:38:45] [QueryClient] 发送查询请求 - ID: 1779788325.3361619, 类型: get_note
[2026-05-26 17:38:45] [QueryClient] 收到查询结果 - ID: 1779788325.3361619, 状态: success
[2026-05-26 17:38:45] [QueryClient] 发送查询请求 - ID: 1779788325.4461777, 类型: get_comments
[2026-05-26 17:38:45] [QueryClient] 收到查询结果 - ID: 1779788325.4461777, 状态: success
[2026-05-26 17:38:45] [QueryClient] 发送查询请求 - ID: 1779788325.5554585, 类型: get_like_count
[2026-05-26 17:38:45] [QueryClient] 收到查询结果 - ID: 1779788325.5554585, 状态: success
[2026-05-26 17:38:47] [QueryClient] 发送查询请求 - ID: 1779788327.7616596, 类型: get_note
[2026-05-26 17:38:47] [QueryClient] 收到查询结果 - ID: 1779788327.7616596, 状态: success
[2026-05-26 17:38:47] [QueryClient] 发送查询请求 - ID: 1779788327.8738198, 类型: get_comments
[2026-05-26 17:38:47] [QueryClient] 发送查询请求 - ID: 1779788327.9753578, 类型: get_note
[2026-05-26 17:38:47] [QueryClient] 收到查询结果 - ID: 1779788327.8738198, 状态: success
[2026-05-26 17:38:47] [QueryClient] 发送查询请求 - ID: 1779788327.9827466, 类型: get_like_count
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.1139176, 类型: get_note
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788327.9753578, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.1989002, 类型: get_comments
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788327.9827466, 状态: success
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.1139176, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.229822, 类型: get_comments
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.3062496, 类型: get_note
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.1989002, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.3207133, 类型: get_like_count
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.229822, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.3399248, 类型: get_like_count
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.3062496, 状态: success
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.3207133, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.4254708, 类型: get_comments
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.4708114, 类型: get_note
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.4254708, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.5371127, 类型: get_like_count
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.3399248, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.6391158, 类型: get_note
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.5371127, 状态: success
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.4708114, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.688696, 类型: get_comments
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.688696, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.80049, 类型: get_like_count
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.7975407, 类型: get_note
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.6391158, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.8506925, 类型: get_comments
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.7975407, 状态: success
[2026-05-26 17:38:48] [QueryClient] 收到查询结果 - ID: 1779788328.80049, 状态: success
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.9129598, 类型: get_comments
[2026-05-26 17:38:48] [QueryClient] 发送查询请求 - ID: 1779788328.977386, 类型: get_note
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788328.9129598, 状态: success
[2026-05-26 17:38:49] [QueryClient] 发送查询请求 - ID: 1779788329.0285072, 类型: get_like_count
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788328.8506925, 状态: success
[2026-05-26 17:38:49] [QueryClient] 发送查询请求 - ID: 1779788329.066389, 类型: get_like_count
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788328.977386, 状态: success
[2026-05-26 17:38:49] [QueryClient] 发送查询请求 - ID: 1779788329.0967214, 类型: get_comments
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788329.0285072, 状态: success
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788329.0967214, 状态: success
[2026-05-26 17:38:49] [QueryClient] 发送查询请求 - ID: 1779788329.2058232, 类型: get_like_count
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788329.066389, 状态: success
[2026-05-26 17:38:49] [QueryClient] 收到查询结果 - ID: 1779788329.2058232, 状态: success
